"Population and dwelling counts, for population centres, 2011 and 2006 censuses"
"Geographic code","Geographic name","Population centre size group","Incompletely enumerated Indian reserves and Indian settlements, 2011","Population, 2011","Population, 2006","2006 adjusted population flag","Population, % change","Total private dwellings, 2011","Private dwellings occupied by usual residents, 2011","Land area in square kilometres, 2011","Population density per square kilometre, 2011","National population rank, 2011","Provincial/territorial population rank, 2011"
"1393","Arviat (Nvt.)","Small",F,1810,1785,F,1.4,413,382,0.7376,2453.9046,684,3
"1394","Still Water Lake (N.S.)","Small",F,1677,855,T,96.1,524,524,3.2978,508.5208,708,28
"1395","Starlight Village (N.B.)","Small",F,1319,1914,T,-31.1,431,430,2.2321,590.9233,817,27
"1396","Maliotenam (Que.)","Small",F,1316,1123,T,17.2,445,431,5.1709,254.5012,819,206
"1397","Ville Lambert (Que.)","Small",F,1315,1027,T,28.0,542,518,0.7404,1776.0670,821,208
"1398","Sainte-Catherine-de-la-Jacques-Cartier (Que.)","Small",F,1062,450,T,136.0,409,406,0.7894,1345.3256,921,240
"1399","Domaine-Ouellet (Que.)","Small",F,1973,509,T,287.6,750,714,1.0785,1829.3927,644,154
"1400","Lac-Simon (Que.)","Small",F,1403,1165,T,20.4,305,303,3.2370,433.4260,790,195
"1401","Amulet (Que.)","Small",F,1193,860,T,38.7,473,463,1.8387,648.8280,864,226
"1402","Manotick Station (Ont.)","Small",F,1632,1951,T,-16.4,515,509,1.6150,1010.5263,723,217
"1403","Bath (Ont.)","Small",F,1042,823,T,26.6,467,448,1.3026,799.9386,926,264
"1404","Binbrook (Ont.)","Small",F,3614,955,T,278.4,1314,1294,0.9749,3707.0469,416,132
"1405","Mount Hope (Ont.)","Small",F,1904,1193,T,59.6,586,581,1.4385,1323.6010,657,203
"1406","Ilderton (Ont.)","Small",F,1666,1322,T,26.0,587,564,0.7241,2300.7872,712,214
"1407","Nobleford (Alta.)","Small",F,1000,689,T,45.1,375,334,1.5436,647.8362,942,109
"1408","Aldergrove East (B.C.)","Small",F,2203,1048,T,110.2,697,611,1.3042,1689.1581,602,77
"1409","Miller's Landing (B.C.)","Small",F,1113,722,T,54.2,541,439,1.5671,710.2291,896,95
"1410","Cowichan Bay (B.C.)","Small",F,1401,1215,T,15.3,639,593,1.8054,776.0053,791,89
"1411","Mitchell (Man.)","Small",F,1136,1284,T,-11.5,349,346,1.3156,863.4843,887,39
"1412","Moose Lake (Man.)","Small",F,1137,827,T,37.5,260,254,1.6614,684.3626,885,38
"1413","St. Theresa Point (Man.)","Small",F,1057,534,T,97.9,205,190,0.1671,6325.5536,923,43
"1414","Grunthal (Man.)","Small",F,1479,1089,T,35.8,484,465,1.7268,856.4976,766,33
"1415","Gillam (Man.)","Small",F,1106,509,T,117.3,474,363,0.6886,1606.1574,900,41
"1416","Blumenort (Man.)","Small",F,1133,834,T,35.9,334,327,1.6395,691.0643,890,40
"1418","Trochu (Alta.)","Small",F,1072,1005,T,6.7,429,414,2.8205,380.0745,913,105
"1419","Eckville (Alta.)","Small",F,1125,951,T,18.3,485,436,1.5828,710.7657,894,104
"1420","Kimosom Pwatinahk 203 (Deschambault Lake) (Sask.)","Small",F,1194,821,T,45.4,222,205,8.0423,148.4650,863,54
"1421","Birch Hills (Sask.)","Small",F,1064,935,T,13.8,440,432,2.2716,468.3923,920,62
"1422","Caronport (Sask.)","Small",F,1068,919,T,16.2,361,329,1.8965,563.1426,917,61
"1423","Pelican Narrows (Sask.)","Small",F,2703,1941,T,39.3,520,463,9.1626,295.0036,507,22
"1424","Welcome Beach (B.C.)","Small",F,1106,1069,T,3.5,471,449,1.2717,869.7020,900,97
"1425","Mannheim (Ont.)","Small",F,1013,1145,T,-11.5,326,323,0.9861,1027.2792,936,267
"1426","Factory Island (Ont.)","Small",F,1958,0,T,,657,562,3.5364,553.6704,650,200
"1428","St. Clements (Ont.)","Small",F,1261,1792,T,-29.6,452,449,1.5122,833.8844,846,246
"1429","New Dundee (Ont.)","Small",F,1219,1297,T,-6.0,434,428,1.5216,801.1304,855,253
"1430","Thornton (Ont.)","Small",F,1001,898,T,11.5,337,331,0.9991,1001.9017,941,270
"1431","Sunderland (Ont.)","Small",F,1110,1072,T,3.5,432,417,1.3976,794.2187,897,261
"1432","Saint-Charles (Que.)","Small",F,1300,1158,T,12.3,547,536,1.2184,1066.9731,828,211
"1433","Manawan (Que.)","Small",F,2073,1843,T,12.5,407,372,7.7366,267.9472,624,148
"1434","Terrasse-des-Pins (Que.)","Small",F,1085,555,T,95.5,418,412,0.8429,1287.2227,910,236
"1435","Domaine-C.-L.-C. (Que.)","Small",F,1200,941,T,27.5,470,445,1.3077,917.6417,860,224
"1436","Saint-Michel (Que.)","Small",F,1197,983,T,21.8,409,409,0.8517,1405.4244,861,225
"1437","L'Ange-Gardien (Que.)","Small",F,1311,865,T,51.6,538,525,1.3558,966.9568,822,209
"1438","Saint-Alexandre (Que.)","Small",F,1071,993,T,7.9,407,398,1.2784,837.7660,914,238
"1439","Baker Lake (Nvt.)","Small",F,1165,808,T,44.2,359,303,0.4012,2903.7886,871,6
"1440","Kugluktuk (Nvt.)","Small",F,1082,1220,T,-11.3,321,293,0.3385,3196.4549,912,7
"1442","Deep Cove (B.C.)","Small",F,1088,1249,T,-12.9,469,436,1.4491,750.8108,907,99
"1443","Osler (Sask.)","Small",F,1088,926,T,17.5,358,356,1.5529,700.6246,907,59

Note:
"Incompletely enumerated Indian reserves and Indian settlements, 2011","T = excludes census data for one or more incompletely enumerated Indian reserves or Indian settlements."
"Incompletely enumerated Indian reserves and Indian settlements, 2006","T = excludes census data for one or more incompletely enumerated Indian reserves or Indian settlements."
"2006 adjusted population flag","T = adjusted figure due to boundary change."
"2006 adjusted total private dwellings flag","T = adjusted figure due to boundary change."
"2006 adjusted private dwellings occupied by usual residents flag","T = adjusted figure due to boundary change."
"For further information, refer to: http://www12.statcan.gc.ca/census-recensement/2011/dp-pd/hlt-fst/pd-pl/Notes-eng.cfm."

"Source: Statistics Canada, 2011 Census of Population."
"How to cite: Statistics Canada. 2012. Population and dwelling counts, for population centres, 2011 and 2006 censuses (table). Population and Dwelling Count Highlight Tables. 2011 Census."
"Statistics Canada Catalogue no. 98-310-XWE2011002. Released February 8, 2012."
"http://www12.statcan.gc.ca/census-recensement/2011/dp-pd/hlt-fst/pd-pl/FullFile.cfm?T=801&LANG=Eng&OFT=CSV&OFN=98-310-XWE2011002-801.CSV"
